               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10862,            0.020308,                   0,           0.0007131,             0.42157,          0.00051114,           0.0001271,            0.080241,            0.016431,                   0,             0.00049,             0.00049,             0.09559
                   1,            0.076739,            0.014252,                   0,            0.017343,             0.33333,            0.014142,           0.0034207,            0.063614,            0.013823,                   0,          0.00098912,          0.00098912,            0.091089
                   2,            0.061975,            0.013193,                   0,             0.66917,             0.69608,             0.67845,             0.21819,             0.05559,            0.011381,                   0,           0.0014847,           0.0014847,            0.086585
                   3,            0.062042,            0.010666,                   0,             0.70053,             0.62745,             0.68866,             0.22951,            0.056245,            0.010619,                   0,           0.0019741,           0.0019741,            0.082074
                   4,            0.058835,             0.01018,                   0,             0.79477,             0.58824,             0.70086,             0.24471,            0.052665,           0.0098034,                   0,           0.0024548,           0.0024548,            0.077555
                   5,             0.05568,           0.0098459,                   0,             0.88871,             0.71569,             0.80126,             0.36181,            0.052303,           0.0089933,                   0,           0.0029241,           0.0029241,            0.073024
                   6,            0.052716,           0.0091722,                   0,             0.86162,             0.79355,             0.84455,             0.32061,            0.046628,            0.008773,                   0,           0.0033797,           0.0033797,             0.06848
                   7,            0.050545,           0.0078342,                   0,             0.86306,             0.80324,              0.8755,              0.3311,            0.049809,           0.0079018,                   0,           0.0038191,           0.0038191,            0.063919
                   8,            0.049135,           0.0079273,                   0,             0.90289,             0.82353,             0.89475,             0.39321,             0.04239,           0.0078571,                   0,           0.0042401,           0.0042401,             0.05934
                   9,            0.048166,            0.007021,                   0,               0.913,             0.82307,             0.88891,             0.37243,            0.045524,           0.0072419,                   0,           0.0046404,           0.0046404,             0.05474
                  10,            0.050877,           0.0067295,                   0,             0.88579,             0.84314,             0.89834,              0.3632,            0.045608,           0.0077238,                   0,           0.0050182,           0.0050182,            0.050118
                  11,            0.049404,           0.0067253,                   0,             0.91574,             0.85237,             0.90005,             0.34477,            0.044993,           0.0075599,                   0,           0.0053714,           0.0053714,            0.045471
                  12,            0.047884,           0.0066662,                   0,             0.88306,             0.89216,             0.91364,              0.4306,            0.042668,           0.0072925,                   0,           0.0056985,           0.0056985,            0.040798
                  13,            0.047659,           0.0060497,                   0,             0.88784,             0.93124,             0.92338,             0.44947,             0.04154,           0.0064519,                   0,           0.0059977,           0.0059977,            0.036098
                  14,            0.045013,           0.0058257,                   0,             0.87701,             0.91176,              0.9261,             0.41018,            0.043017,           0.0057559,                   0,           0.0062679,           0.0062679,            0.031368
                  15,            0.046125,           0.0053345,                   0,             0.92306,             0.82334,             0.90113,             0.42093,            0.044496,           0.0059999,                   0,           0.0065079,           0.0065079,            0.026608
                  16,            0.045119,           0.0053705,                   0,             0.93125,             0.83333,             0.91504,             0.42357,            0.045549,           0.0055436,                   0,           0.0067166,           0.0067166,            0.021817
                  17,            0.047107,           0.0053573,                   0,             0.88615,             0.92157,             0.90341,             0.35097,            0.042209,           0.0055991,                   0,           0.0068934,           0.0068934,            0.016993
                  18,            0.044517,           0.0052633,                   0,             0.87341,             0.88235,             0.88326,             0.35224,            0.045049,           0.0054148,                   0,           0.0070378,           0.0070378,            0.012138
                  19,            0.043732,           0.0051277,                   0,             0.89998,             0.88218,             0.90634,             0.42446,            0.041328,           0.0052146,                   0,           0.0071494,           0.0071494,           0.0072494
                  20,            0.043506,           0.0049629,                   0,             0.88459,             0.90175,             0.92708,             0.41516,            0.040717,           0.0050247,                   0,           0.0068906,           0.0068906,           0.0068906
                  21,            0.042147,           0.0042968,                   0,             0.88234,             0.88225,             0.91577,              0.4533,            0.040214,           0.0049858,                   0,           0.0068906,           0.0068906,           0.0068906
                  22,            0.041685,            0.004347,                   0,             0.89789,              0.8621,             0.89121,             0.42215,            0.039332,           0.0048114,                   0,           0.0066191,           0.0066191,           0.0066191
                  23,            0.039905,           0.0045841,                   0,             0.88114,             0.87218,             0.88154,             0.37576,             0.04079,           0.0048434,                   0,           0.0063432,           0.0063432,           0.0063432
