               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085329,            0.022349,                   0,             0.44572,             0.58559,             0.38719,             0.11869,            0.055405,            0.013296,                   0,             0.00137,             0.00137,             0.08767
                   1,            0.055986,            0.015437,                   0,             0.75449,             0.74752,              0.7792,             0.27593,            0.046489,           0.0085774,                   0,           0.0027476,           0.0027476,            0.075248
                   2,            0.051529,            0.012376,                   0,             0.75198,             0.74775,              0.7942,             0.29718,            0.045314,           0.0066377,                   0,           0.0041153,           0.0041153,            0.062815
                   3,            0.048232,            0.010475,                   0,             0.90192,             0.82844,             0.88112,             0.41421,            0.045334,            0.005965,                   0,           0.0054661,           0.0054661,            0.050366
                   4,            0.047204,            0.010121,                   0,             0.86475,             0.76577,             0.83163,             0.38607,            0.043969,           0.0058042,                   0,           0.0067926,           0.0067926,            0.037893
                   5,            0.045532,           0.0094275,                   0,             0.84711,             0.85586,             0.89997,             0.43161,            0.042199,           0.0052162,                   0,           0.0080879,           0.0080879,            0.025388
                   6,            0.047069,           0.0098563,                   0,             0.89986,             0.81081,             0.87509,              0.4155,            0.041845,           0.0059747,                   0,           0.0093451,           0.0093451,            0.012845
                   7,            0.044589,           0.0090814,                   0,             0.92304,             0.75634,             0.85006,             0.38799,            0.043628,           0.0055904,                   0,           0.0095717,           0.0095717,           0.0095717
                   8,            0.043436,           0.0090659,                   0,             0.93617,             0.79274,             0.90158,             0.40294,            0.041768,           0.0057287,                   0,           0.0095717,           0.0095717,           0.0095717
                   9,            0.041895,           0.0090101,                   0,             0.89181,             0.81982,             0.85285,             0.41449,            0.043449,           0.0052514,                   0,           0.0094434,           0.0094434,           0.0094434
                  10,            0.040179,           0.0090814,                   0,             0.96562,             0.77477,             0.89313,             0.43069,            0.040352,           0.0051634,                   0,           0.0092995,           0.0092995,           0.0092995
                  11,            0.039839,           0.0086541,                   0,             0.90813,             0.80148,             0.88051,             0.45952,            0.040305,           0.0052603,                   0,           0.0091406,           0.0091406,           0.0091406
                  12,            0.038157,           0.0083191,                   0,             0.93902,             0.69366,             0.81054,              0.3774,            0.044395,           0.0060394,                   0,           0.0089673,           0.0089673,           0.0089673
                  13,            0.038906,           0.0082397,                   0,             0.90291,             0.83784,             0.89535,             0.42542,            0.042779,           0.0051608,                   0,           0.0087804,           0.0087804,           0.0087804
